base_seed,replication,contract_id,K,sigma,T,method,monitoring_dates,experiment_role,ncv_epoch,ncv_epoch_source,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,pricing_observations,pricing_simulated_paths,pilot_paths,pilot_runtime_s,target_training_paths,target_training_runtime_s,shared_reference_training_paths,shared_reference_training_runtime_s,training_paths,total_simulated_paths,pricing_runtime_s,marginal_runtime_s,standalone_runtime_s,beta,corr_f_c0,param_hash,hash_verified,error,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,validation_generation_and_evaluation_runtime_s,ncv_setup_cost_s,setup_cost_excludes_validation_generation_and_evaluation_runtime,validation_generation_and_evaluation_runtime_cost_scope,n_pricing,payoff_variance,control_variance,payoff_control_covariance,optimal_residual_variance,optimal_residual_variance_status,observed_residual_variance,residual_variance_beta_one,variance_improvement_from_estimating_beta,variance_improvement_from_estimating_beta_definition,e_h0,training_runtime_s,end_to_end_runtime_s,var_c0_pilot
42,0,reference,100.0,0.2,1.0,MC,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,6.575247352831071,71.3043068510758,0.35652153425537897,0.5970942423565806,5.404942637812173,7.745552067849969,200,200,0,0.0,0,0.0,0,0.0,0,200,0.0018111939998561866,0.0018111939998561866,0.0018111939998561866,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,reference,100.0,0.2,1.0,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,5.996964895025393,16.775444426427516,0.08387722213213758,0.2896156455237485,5.429318229798845,6.56461156025194,200,400,0,0.0,0,0.0,0,0.0,0,400,0.002180416000101104,0.002180416000101104,0.002180416000101104,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,reference,100.0,0.2,1.0,GCV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,5.79322800229266,0.061864204253762836,0.00030932102126881417,0.01758752459184675,5.758756454092641,5.82769955049268,200,200,50,0.0008285930000511144,0,0.0,0,0.0,0,250,0.001518033999900581,0.001518033999900581,0.0023466269999516953,1.0377647797364888,0.9996489779958087,,,,,,,,,,,,,,,,,,,,,,,
42,0,reference,100.0,0.2,1.0,NCV_SCRATCH,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,6.184837915215562,47.37390917307164,0.2368695458653582,0.486692455114478,5.230920703191185,7.138755127239939,200,200,0,0.0,100,0.13536826300014582,0,0.0,100,300,0.004550777000076778,0.004550777000076778,0.1399190400002226,nan,nan,,,,0.0008893070000794978,0.13447895600006632,0.0,0.13536826300014582,True,research_tuning_overhead_excluded_from_operational_setup_cost,,,,,,,,,,,,,,
42,0,strike_low,80.0,0.2,1.0,MC,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,21.689560532912086,121.22444048040914,0.6061222024020457,0.7785385041229789,20.16362506483105,23.215496000993124,200,200,0,0.0,0,0.0,0,0.0,0,200,0.0016517750000275555,0.0016517750000275555,0.0016517750000275555,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,strike_low,80.0,0.2,1.0,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,21.43683892601783,1.1964547614092993,0.005982273807046496,0.07734516020441419,21.28524241201718,21.588435440018483,200,400,0,0.0,0,0.0,0,0.0,0,400,0.002456733999906646,0.002456733999906646,0.002456733999906646,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,strike_low,80.0,0.2,1.0,GCV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,21.47718292927303,0.0884508853556677,0.00044225442677833847,0.021029846094975078,21.43596443092688,21.51840142761918,200,200,50,0.0010814469999331777,0,0.0,0,0.0,0,250,0.002137805000074877,0.002137805000074877,0.003219252000008055,1.0110041898281041,0.9998336668960212,,,,,,,,,,,,,,,,,,,,,,,
42,0,strike_low,80.0,0.2,1.0,NCV_SCRATCH,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,20.941807908166982,110.08030386735847,0.5504015193367924,0.7418905036033231,19.48770252110447,22.395913295229494,200,200,0,0.0,100,0.18732647799993174,0,0.0,100,300,0.003980438000098729,0.003980438000098729,0.19130691600003047,nan,nan,,,,0.001172245999896404,0.18615423200003534,0.0,0.18732647799993174,True,research_tuning_overhead_excluded_from_operational_setup_cost,,,,,,,,,,,,,,
42,0,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,21.45274665467179,111.55441386316326,0.5577720693158164,0.7468413950202655,19.98893752043207,22.916555788911513,200,200,0,0.0,0,0.0,100,1.173727382999914,0,200,0.0024922200000219163,0.0024922200000219163,1.1762196029999359,1.0,0.28395078855406464,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,121.22444048040914,7.861098970133608,8.76556279368975,111.45035019328327,ok,111.55441386316326,111.55441386316326,1.0,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.173727382999914,1.1762196029999359,
42,0,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,21.339860179779233,112.47841205624903,0.5623920602812451,0.7499280367350223,19.87000122777859,22.809719131779875,200,200,50,0.000683871999854091,0,0.0,100,1.173727382999914,0,250,0.0018585830000574788,0.0018585830000574788,1.1762698379998255,1.4766885949902515,0.391927249247427,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,121.22444048040914,7.861098970133608,8.76556279368975,111.45035019328327,ok,112.47841205624903,111.55441386316326,0.9917851063489083,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.173727382999914,1.1762698379998255,11.238929524006707
