contract_id,method,Q,declared_budget_paths,shared_reference_training_paths_per_valuation,pilot_paths,target_training_paths,pricing_observations,pricing_simulated_paths,total_used_paths,feasible,infeasible_reason,estimated_observation_variance,estimated_estimator_variance,estimated_standard_error
volatility_high,NCV_TRANSFER_BETA1,1,10000,10000,0,0,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA,1,10000,10000,2000,0,-2000,-2000,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,MC,5,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,5,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,5,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,5,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,5,10000,2000,0,0,8000,8000,10000,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,5,10000,2000,2000,0,6000,6000,10000,True,,,nan,nan
volatility_high,MC,10,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,10,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,10,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,10,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,10,10000,1000,0,0,9000,9000,10000,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,10,10000,1000,2000,0,7000,7000,10000,True,,,nan,nan
volatility_high,MC,25,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,25,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,25,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,25,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,25,10000,400,0,0,9600,9600,10000,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,25,10000,400,2000,0,7600,7600,10000,True,,,nan,nan
volatility_high,MC,50,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,50,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,50,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,50,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,50,10000,200,0,0,9800,9800,10000,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,50,10000,200,2000,0,7800,7800,10000,True,,,nan,nan
volatility_high,MC,100,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,100,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,100,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,100,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,100,10000,100,0,0,9900,9900,10000,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,100,10000,100,2000,0,7900,7900,10000,True,,,nan,nan
volatility_high,MC,250,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,250,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,250,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,250,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,250,10000,40,0,0,9960,9960,10000,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,250,10000,40,2000,0,7960,7960,10000,True,,,nan,nan
volatility_high,MC,500,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,500,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,500,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,500,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,500,10000,20,0,0,9980,9980,10000,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,500,10000,20,2000,0,7980,7980,10000,True,,,nan,nan
volatility_high,MC,1000,10000,0,0,0,10000,10000,10000,True,,450.9438861142884,0.04509438861142884,0.21235439390657504
volatility_high,AV,1000,10000,0,0,0,5000,10000,10000,True,,148.19104429282672,0.029638208858565343,0.17215751176920902
volatility_high,GCV,1000,10000,0,2000,0,8000,8000,10000,True,,2.146834646192317,0.0002683543307740396,0.016381524067498713
volatility_high,NCV_SCRATCH,1000,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
volatility_high,NCV_TRANSFER_BETA1,1000,10000,10,0,0,9990,9990,10000,True,,,nan,nan
volatility_high,NCV_TRANSFER_BETA,1000,10000,10,2000,0,7990,7990,10000,True,,,nan,nan
maturity_short,MC,1,10000,0,0,0,10000,10000,10000,True,,29.371814460837445,0.0029371814460837447,0.05419576963272821
maturity_short,AV,1,10000,0,0,0,5000,10000,10000,True,,7.28352806529702,0.001456705613059404,0.03816681298011931
maturity_short,GCV,1,10000,0,2000,0,8000,8000,10000,True,,0.010756642787390493,1.3445803484238117e-06,0.0011595604117180837
maturity_short,NCV_SCRATCH,1,10000,0,0,10000,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
maturity_short,NCV_TRANSFER_BETA1,1,10000,10000,0,0,0,0,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
maturity_short,NCV_TRANSFER_BETA,1,10000,10000,2000,0,-2000,-2000,10000,False,remaining budget does not permit at least 2 pricing observations,,nan,nan
maturity_short,MC,5,10000,0,0,0,10000,10000,10000,True,,29.371814460837445,0.0029371814460837447,0.05419576963272821
maturity_short,AV,5,10000,0,0,0,5000,10000,10000,True,,7.28352806529702,0.001456705613059404,0.03816681298011931
maturity_short,GCV,5,10000,0,2000,0,8000,8000,10000,True,,0.010756642787390493,1.3445803484238117e-06,0.0011595604117180837
