series,lag,ljung_box_stat,ljung_box_pvalue
returns,5,8.597096208313612,0.12625464408755746
returns,10,43.24701637463134,4.491909779137925e-06
returns,20,114.2886519035298,3.223675122044961e-15
squared_returns,5,967.610931346525,6.175493902898946e-207
squared_returns,10,1408.9446827689658,1.1621533899323044e-296
squared_returns,20,2058.6563151704886,0.0
absolute_returns,5,1728.1388622249729,0.0
absolute_returns,10,3385.8315039369004,0.0
absolute_returns,20,5670.600970047117,0.0
