config_id,hidden_width,train_paths,selected_checkpoint,metric,count,mean,std_dev,median,ci95_lower,ci95_upper
w8_n10000,8,10000,200,training_data_generation_runtime_s,10,0.029465355899992572,0.0009476846637540211,0.02925145349996683,0.028787423131093646,0.0301432886688915
w8_n10000,8,10000,200,optimizer_cumulative_runtime_s,10,6.026796477799996,0.182046427597204,5.963500436999993,5.896568308611047,6.157024646988945
w8_n10000,8,10000,200,validation_tuning_overhead_runtime_s,10,0.46915403639998204,0.003887553560704491,0.46880785949997517,0.46637304811300123,0.47193502468696286
w8_n10000,8,10000,200,ncv_setup_cost_s,10,6.056261833699989,0.18199179132774138,5.992463405500018,5.926072748943717,6.186450918456261
w8_n10000,8,10000,200,inference_runtime_per_observation_s,10,2.0303490600008443e-07,1.4244266561082676e-08,1.9808821999959035e-07,1.9284517154512694e-07,2.1322464045504192e-07
w8_n20000,8,20000,200,training_data_generation_runtime_s,10,0.06046864329998698,0.0024027481409425633,0.06046918399999868,0.05874982082405554,0.062187465775918424
w8_n20000,8,20000,200,optimizer_cumulative_runtime_s,10,11.618859047299974,0.4419136261959285,11.411621031999971,11.302733082958177,11.934985011641771
w8_n20000,8,20000,200,validation_tuning_overhead_runtime_s,10,0.46915403639998204,0.003887553560704491,0.46880785949997517,0.46637304811300123,0.47193502468696286
w8_n20000,8,20000,200,ncv_setup_cost_s,10,11.679327690599962,0.440867930170922,11.474443096999948,11.3639497721312,11.994705609068724
w8_n20000,8,20000,200,inference_runtime_per_observation_s,10,2.0215025200059245e-07,1.2571145092665941e-08,1.9665223000060906e-07,1.9315739654259464e-07,2.1114310745859027e-07
w16_n10000,16,10000,200,training_data_generation_runtime_s,10,0.029465355899992572,0.0009476846637540211,0.02925145349996683,0.028787423131093646,0.0301432886688915
w16_n10000,16,10000,200,optimizer_cumulative_runtime_s,10,6.447961974899999,0.28182356475907844,6.336833342000034,6.246357541584322,6.6495664082156765
w16_n10000,16,10000,200,validation_tuning_overhead_runtime_s,10,0.46915403639998204,0.003887553560704491,0.46880785949997517,0.46637304811300123,0.47193502468696286
w16_n10000,16,10000,200,ncv_setup_cost_s,10,6.477427330799992,0.28151812538041426,6.366233648000048,6.2760413956531975,6.678813265946787
w16_n10000,16,10000,200,inference_runtime_per_observation_s,10,2.399240799998097e-07,1.368440920671816e-08,2.368777400010913e-07,2.3013484336965532e-07,2.4971331662996407e-07
w16_n20000,16,20000,200,training_data_generation_runtime_s,10,0.06046864329998698,0.0024027481409425633,0.06046918399999868,0.05874982082405554,0.062187465775918424
w16_n20000,16,20000,200,optimizer_cumulative_runtime_s,10,12.15558488370001,0.19630798909091776,12.104528995000067,12.015154608006608,12.296015159393413
w16_n20000,16,20000,200,validation_tuning_overhead_runtime_s,10,0.46915403639998204,0.003887553560704491,0.46880785949997517,0.46637304811300123,0.47193502468696286
w16_n20000,16,20000,200,ncv_setup_cost_s,10,12.216053526999996,0.1954329028832144,12.16719553750005,12.076249250268594,12.355857803731398
w16_n20000,16,20000,200,inference_runtime_per_observation_s,10,2.369890160000523e-07,6.158216656698494e-09,2.3592335999978787e-07,2.3258369318621944e-07,2.4139433881388514e-07
